shop_id,shop_name,cluster_hub,mandal_zone,latitude,longitude,category,animal_origin,animal_destination,daily_animals_handled,slaughter_on_site,refrigeration_available,waste_disposal_method,water_source,drainage_condition,distance_to_drain_m,distance_to_waterbody_m,distance_to_hospital_m,market_crowd_index
NLR-HLTH-011,Annapurna Mutton Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.448695,79.992547,Mutton / Sheep / Goat,Atmakur Cattle & Sheep Market,Local Ward Neighborhood Households,394,No,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,552.5,1581.8,230.3,10.0
NLR-HLTH-012,Gouthami Mutton Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.447601,79.992426,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Hotel & Catering Aggregators,415,Yes,No,Open Dumping on Ground,Stored Tank Water (Untreated),Underground Closed Drain,607.4,1702.7,337.5,7.3
NLR-HLTH-013,Balaji Poultry Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.44934,79.99139,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Trunk Road & Gandhi Nagar Restaurants,54,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,408.9,1510.5,129.6,9.8
NLR-HLTH-014,National Mixed Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.444949,79.991115,Mixed Live Meat & Fish,Combined Regional Traders & Local Shandy,Hotel & Catering Aggregators,295,No,No,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,748.6,1996.0,553.0,7.9
NLR-HLTH-015,Sri Venkateswara Mixed Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.448451,79.987769,Mixed Live Meat & Fish,Multi-Source Livestock Distributors,Local Street Food Vendors,289,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,283.0,1608.8,461.8,7.0
NLR-HLTH-016,Pennar Quality Mutton Stall (Stonehousepet),Stonehousepet Fish & Mutton Hub,Nellore Urban (NMC),14.448703,79.993803,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Local Ward Neighborhood Households,194,Yes,Yes,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,675.2,1580.9,318.5,9.2
NLR-HLTH-017,Sai Krupa Poultry Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.438879,79.976012,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Local Street Food Vendors,233,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,296.8,2667.1,442.9,5.6
NLR-HLTH-018,Annapurna Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.440098,79.978692,Mutton / Sheep / Goat,Atmakur Cattle & Sheep Market,Hotel & Catering Aggregators,80,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,151.9,2532.3,276.9,6.1
NLR-HLTH-019,Pennar Quality Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.435933,79.981543,Mutton / Sheep / Goat,Atmakur Cattle & Sheep Market,Inter-Mandal Retail Stalls,75,Yes,No,Closed Bin Collection,Stored Tank Water (Untreated),Underground Closed Drain,373.7,2992.9,346.0,9.6
NLR-HLTH-020,Annapurna Poultry Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.437939,79.978402,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,219,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Open Stagnant Drain,29.6,2771.1,303.6,8.3
NLR-HLTH-021,Coastal Choice Poultry Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.435498,79.98307,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,176,Yes,Yes,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,533.1,3041.0,448.7,7.4
NLR-HLTH-022,Al-Madina Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.440032,79.976195,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Inter-Mandal Retail Stalls,66,No,Yes,Municipal Waste Bin,Stored Tank Water (Untreated),Underground Closed Drain,359.6,2539.7,505.1,7.5
NLR-HLTH-023,National Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.44226,79.983664,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Inter-Mandal Retail Stalls,45,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,154.4,2293.3,46.4,8.2
NLR-HLTH-024,Gouthami Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.439015,79.979822,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Hotel & Catering Aggregators,259,Yes,No,Direct Open Drain Discharge,Piped Municipal Supply,Open Stagnant Drain,17.8,2652.2,126.9,8.4
NLR-HLTH-025,National Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.440202,79.980479,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Hotel & Catering Aggregators,92,No,No,Open Dumping on Ground,Borewell / Groundwater,Open Stagnant Drain,7.0,2520.9,144.9,8.7
NLR-HLTH-026,Nellore Fresh Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.442353,79.978452,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Inter-Mandal Retail Stalls,178,No,Yes,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,325.6,2283.0,462.9,10.0
NLR-HLTH-027,Sri Venkateswara Poultry Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.43945,79.979223,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Trunk Road & Gandhi Nagar Restaurants,392,Yes,No,Open Dumping on Ground,Piped Municipal Supply,Semi-Covered Municipal Drain,62.7,2604.0,197.8,7.5
NLR-HLTH-028,Balaji Poultry Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.443433,79.982432,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Local Ward Neighborhood Households,195,No,No,Direct Open Drain Discharge,Piped Municipal Supply,Open Stagnant Drain,18.2,2163.6,232.2,8.2
NLR-HLTH-029,Star Mutton Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.438865,79.977786,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Trunk Road & Gandhi Nagar Restaurants,304,Yes,No,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,145.0,2668.7,346.4,8.6
NLR-HLTH-030,Gouthami Poultry Stall (Santhapet),Santhapet Central Meat Market,Nellore Urban (NMC),14.439945,79.981118,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,366,Yes,No,Open Dumping on Ground,Borewell / Groundwater,Semi-Covered Municipal Drain,64.8,2549.2,105.9,7.4
NLR-HLTH-031,Star Poultry Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.453487,79.982483,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,236,Yes,No,Municipal Waste Bin,Stored Tank Water (Untreated),Underground Closed Drain,154.1,1051.9,489.7,7.8
NLR-HLTH-032,Star Poultry Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.450096,79.987515,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Local Ward Neighborhood Households,265,Yes,No,Municipal Waste Bin,Borewell / Groundwater,Semi-Covered Municipal Drain,112.8,1426.9,431.4,7.7
NLR-HLTH-033,Balaji Poultry Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.454383,79.98637,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Hotel & Catering Aggregators,167,No,No,Direct Open Drain Discharge,Piped Municipal Supply,Open Stagnant Drain,18.3,952.8,80.1,4.3
NLR-HLTH-034,Al-Madina Fish Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.45649,79.987246,Fish & Seafood,Krishnapatnam Deep Sea Port Landing,Inter-Mandal Retail Stalls,160,Yes,No,Direct Open Drain Discharge,Piped Municipal Supply,Semi-Covered Municipal Drain,61.3,719.8,278.1,7.2
NLR-HLTH-035,Sai Krupa Fish Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.451808,79.98587,Fish & Seafood,Krishnapatnam Deep Sea Port Landing,Hotel & Catering Aggregators,47,Yes,Yes,Municipal Waste Bin,Piped Municipal Supply,Open Stagnant Drain,26.0,1237.6,272.4,6.6
NLR-HLTH-036,National Fish Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.450592,79.988264,Fish & Seafood,Mypadu Coastal Aquaculture Farms,Local Ward Neighborhood Households,393,No,No,Municipal Waste Bin,Borewell / Groundwater,Semi-Covered Municipal Drain,53.3,1372.0,348.6,8.2
NLR-HLTH-037,Gouthami Fish Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.453234,79.988601,Fish & Seafood,Pulicat Lake Brackish Water Source,Trunk Road & Gandhi Nagar Restaurants,340,Yes,No,Open Dumping on Ground,Borewell / Groundwater,Open Stagnant Drain,7.2,1079.8,192.3,7.5
NLR-HLTH-038,Annapurna Fish Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.456561,79.986113,Fish & Seafood,Krishnapatnam Deep Sea Port Landing,Inter-Mandal Retail Stalls,267,No,No,Municipal Waste Bin,Piped Municipal Supply,Semi-Covered Municipal Drain,59.7,712.0,300.4,5.9
NLR-HLTH-039,Star Fish Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.450964,79.987198,Fish & Seafood,Pennar River Catchment,Trunk Road & Gandhi Nagar Restaurants,369,Yes,No,Direct Open Drain Discharge,Borewell / Groundwater,Semi-Covered Municipal Drain,86.5,1330.9,338.3,8.6
NLR-HLTH-040,Star Poultry Stall (Ranganayakulapet),Ranganayakulapet Riverside Stalls,Nellore Urban (NMC),14.453251,79.989542,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Local Street Food Vendors,278,Yes,Yes,Municipal Waste Bin,Stored Tank Water (Untreated),Semi-Covered Municipal Drain,89.7,1078.0,286.1,7.5
NLR-HLTH-041,Balaji Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.41985,79.964983,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Inter-Mandal Retail Stalls,262,Yes,Yes,Municipal Waste Bin,Piped Municipal Supply,Semi-Covered Municipal Drain,45.6,4771.3,384.2,6.6
NLR-HLTH-042,Coastal Choice Mutton Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.414967,79.963054,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Inter-Mandal Retail Stalls,243,No,No,Open Dumping on Ground,Piped Municipal Supply,Semi-Covered Municipal Drain,87.0,5311.2,481.3,4.3
NLR-HLTH-043,Nellore Fresh Mutton Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.414642,79.968633,Mutton / Sheep / Goat,Nellore Local Herders (Pennar Basin),Local Street Food Vendors,345,Yes,No,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,604.1,5347.2,315.8,4.7
NLR-HLTH-044,Al-Madina Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.420765,79.96853,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Trunk Road & Gandhi Nagar Restaurants,57,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,213.1,4670.0,449.9,6.7
NLR-HLTH-045,National Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.415129,79.969913,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Local Street Food Vendors,269,Yes,No,Closed Bin Collection,Stored Tank Water (Untreated),Underground Closed Drain,687.6,5293.2,376.4,7.2
NLR-HLTH-046,Al-Madina Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.416959,79.96712,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Trunk Road & Gandhi Nagar Restaurants,164,Yes,Yes,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,324.9,5090.9,13.7,3.9
NLR-HLTH-047,Pennar Quality Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.416943,79.96334,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Inter-Mandal Retail Stalls,38,No,No,Open Dumping on Ground,Borewell / Groundwater,Open Stagnant Drain,10.7,5092.7,394.2,3.8
NLR-HLTH-048,Annapurna Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.419067,79.969542,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Hotel & Catering Aggregators,197,No,No,Closed Bin Collection,Piped Municipal Supply,Underground Closed Drain,409.1,4857.8,357.4,6.4
NLR-HLTH-049,Gouthami Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.418532,79.965365,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Trunk Road & Gandhi Nagar Restaurants,357,Yes,No,Direct Open Drain Discharge,Borewell / Groundwater,Semi-Covered Municipal Drain,70.5,4917.0,245.0,6.0
NLR-HLTH-050,National Poultry Stall (Vedayapalem),Vedayapalem - Ramalingapuram Meat Cluster,Nellore Urban (NMC),14.420941,79.968158,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Trunk Road & Gandhi Nagar Restaurants,263,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,169.1,4650.6,455.6,6.5
NLR-HLTH-051,Nellore Fresh Mutton Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.493883,79.974759,Mutton / Sheep / Goat,Atmakur Cattle & Sheep Market,Local Ward Neighborhood Households,321,Yes,Yes,Municipal Waste Bin,Stored Tank Water (Untreated),Semi-Covered Municipal Drain,115.1,3414.9,300.8,6.5
NLR-HLTH-052,Amma Mutton Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.496225,79.975029,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Hotel & Catering Aggregators,375,Yes,Yes,Open Dumping on Ground,Piped Municipal Supply,Underground Closed Drain,302.6,3673.8,160.3,6.8
NLR-HLTH-053,National Poultry Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.491906,79.977838,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Hotel & Catering Aggregators,31,No,No,Municipal Waste Bin,Stored Tank Water (Untreated),Underground Closed Drain,260.5,3196.3,174.4,6.5
NLR-HLTH-054,Nellore Fresh Fish Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.491955,79.979284,Fish & Seafood,Pulicat Lake Brackish Water Source,Local Street Food Vendors,248,No,No,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,351.2,3201.7,120.1,8.6
NLR-HLTH-055,Gouthami Mixed Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.494144,79.980869,Mixed Live Meat & Fish,Multi-Source Livestock Distributors,Hotel & Catering Aggregators,39,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,263.6,3443.7,238.0,7.9
NLR-HLTH-056,Coastal Choice Poultry Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.495956,79.977966,Poultry (Broiler/Country Chicken),Chittoor Hatcheries Supply,Trunk Road & Gandhi Nagar Restaurants,68,Yes,No,Municipal Waste Bin,Borewell / Groundwater,Semi-Covered Municipal Drain,86.0,3644.1,157.9,7.1
NLR-HLTH-057,National Poultry Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.493228,79.976471,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Hotel & Catering Aggregators,138,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Semi-Covered Municipal Drain,54.9,3342.4,273.4,7.0
NLR-HLTH-058,Star Mixed Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.493955,79.976553,Mixed Live Meat & Fish,Multi-Source Livestock Distributors,Hotel & Catering Aggregators,153,Yes,No,Direct Open Drain Discharge,Piped Municipal Supply,Open Stagnant Drain,5.0,3422.9,227.4,7.7
NLR-HLTH-059,Sri Venkateswara Mixed Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.494069,79.977166,Mixed Live Meat & Fish,Multi-Source Livestock Distributors,Inter-Mandal Retail Stalls,414,Yes,Yes,Direct Open Drain Discharge,Borewell / Groundwater,Open Stagnant Drain,26.7,3435.4,226.4,8.1
NLR-HLTH-060,Sri Venkateswara Poultry Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.495621,79.978202,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Inter-Mandal Retail Stalls,174,Yes,Yes,Open Dumping on Ground,Piped Municipal Supply,Semi-Covered Municipal Drain,41.2,3607.0,188.0,7.4
NLR-HLTH-061,Sai Krupa Mixed Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.492689,79.977389,Mixed Live Meat & Fish,Multi-Source Livestock Distributors,Trunk Road & Gandhi Nagar Restaurants,51,Yes,No,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,162.3,3282.8,176.9,6.4
NLR-HLTH-062,Star Fish Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.494622,79.97968,Fish & Seafood,Pennar River Catchment,Trunk Road & Gandhi Nagar Restaurants,85,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Underground Closed Drain,143.5,3496.6,194.7,8.2
NLR-HLTH-063,Kovur Royal Mixed Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.49255,79.97816,Mixed Live Meat & Fish,Multi-Source Livestock Distributors,Inter-Mandal Retail Stalls,244,Yes,No,Closed Bin Collection,Piped Municipal Supply,Underground Closed Drain,225.2,3267.5,103.4,8.8
NLR-HLTH-064,Sri Venkateswara Mutton Stall (Kovur),Kovur Main Bazaar & Daily Market,Kovur Mandal,14.494103,79.978417,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Inter-Mandal Retail Stalls,63,Yes,No,Municipal Waste Bin,Piped Municipal Supply,Semi-Covered Municipal Drain,106.0,3439.2,137.8,8.5
NLR-HLTH-065,Sai Krupa Poultry Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.475828,79.987424,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,160,No,No,Closed Bin Collection,Stored Tank Water (Untreated),Underground Closed Drain,365.9,1418.4,476.7,5.2
NLR-HLTH-066,Coastal Choice Fish Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.476523,79.985025,Fish & Seafood,Pennar River Catchment,Local Ward Neighborhood Households,109,No,No,Municipal Waste Bin,Stored Tank Water (Untreated),Semi-Covered Municipal Drain,97.4,1495.3,225.6,7.3
NLR-HLTH-067,Nellore Fresh Poultry Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.477452,79.986367,Poultry (Broiler/Country Chicken),Allur Broiler Breeding Units,Inter-Mandal Retail Stalls,301,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,219.7,1598.1,396.8,6.1
NLR-HLTH-068,Annapurna Fish Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.476728,79.984435,Fish & Seafood,Mypadu Coastal Aquaculture Farms,Inter-Mandal Retail Stalls,45,No,Yes,Direct Open Drain Discharge,Borewell / Groundwater,Open Stagnant Drain,30.6,1517.9,174.4,8.3
NLR-HLTH-069,Sai Krupa Poultry Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.476497,79.986653,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Local Street Food Vendors,203,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,270.2,1492.4,397.1,5.3
NLR-HLTH-070,Sri Venkateswara Fish Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.47661,79.987796,Fish & Seafood,Pulicat Lake Brackish Water Source,Local Ward Neighborhood Households,186,Yes,Yes,Closed Bin Collection,Stored Tank Water (Untreated),Underground Closed Drain,388.7,1504.9,520.7,5.8
NLR-HLTH-071,Annapurna Poultry Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.474266,79.981699,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,290,Yes,No,Closed Bin Collection,Piped Municipal Supply,Underground Closed Drain,139.0,1245.7,238.4,6.9
NLR-HLTH-072,Kovur Royal Fish Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.477676,79.980849,Fish & Seafood,Pennar River Catchment,Inter-Mandal Retail Stalls,147,Yes,Yes,Municipal Waste Bin,Borewell / Groundwater,Underground Closed Drain,368.9,1622.8,297.3,7.2
NLR-HLTH-073,Coastal Choice Poultry Stall (Padugupadu),Padugupadu Railway & Bridge Junction Stalls,Kovur Mandal,14.479472,79.983764,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Trunk Road & Gandhi Nagar Restaurants,280,No,Yes,Municipal Waste Bin,Borewell / Groundwater,Semi-Covered Municipal Drain,98.5,1821.4,394.8,5.2
NLR-HLTH-074,Sri Venkateswara Mutton Stall (Inamadugu),Inamadugu Rural Livestock & Poultry Market,Kovur Mandal,14.491223,80.001447,Mutton / Sheep / Goat,Kadapa / Badvel Livestock Shandy,Hotel & Catering Aggregators,420,No,No,Municipal Waste Bin,Piped Municipal Supply,Open Stagnant Drain,39.8,3120.8,276.0,5.1
NLR-HLTH-075,National Poultry Stall (Inamadugu),Inamadugu Rural Livestock & Poultry Market,Kovur Mandal,14.490689,80.005313,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Local Street Food Vendors,300,Yes,Yes,Closed Bin Collection,Borewell / Groundwater,Underground Closed Drain,272.2,3061.7,145.6,7.7
NLR-HLTH-076,Star Poultry Stall (Inamadugu),Inamadugu Rural Livestock & Poultry Market,Kovur Mandal,14.489512,80.003652,Poultry (Broiler/Country Chicken),Local Nellore Poultry Farms (Podalakur Road),Hotel & Catering Aggregators,406,Yes,No,Municipal Waste Bin,Stored Tank Water (Untreated),Underground Closed Drain,257.2,2931.6,169.6,6.7
